 ******************************************************* 
 ***  This study explores what happens if we apply a *** 
 ***  CDP matrix only once (1st iteration)           *** 
 ***  Number of Iterations = 10000000
 ******************************************************* 
  
  N      KCounter1   KCounter2      Ratio1    Ratio2      Aver Ratio1     Max Normal Diff    

   2  2810301  0      28.10301  0   15.074035840958302     33.333333029320364
   3  4608594  0      46.08594  0   13.79504014068828     33.33332675159879
   4  5715976  0      57.15976  0   12.2538255224622     33.33331721866588
   5  6617426  0      66.17426  0   10.71354880898279     33.33331884759327
   6  7344182  0      73.44182  0   9.47915809766837     33.333331278971066
   7  7923805  0      79.23805  0   8.543514744094855     33.33327971598669
   8  8374383  0      83.74383  0   7.816270618550546     33.333288526350756
   9  8729300  0      87.293  0   7.249168079274818     33.33328328832887
   10  9009701  0      90.09701  0   6.790089124067148     33.33332347764995
   11  9225023  0      92.25023  0   6.419078507256524     33.332873813674226
   12  9393265  0      93.93265  0   6.099552890193792     33.333289585469316
   13  9526346  0      95.26346  0   5.829267026125667     33.33327027226388
   14  9629653  0      96.29653  0   5.593043738104086     33.331289043052415
   15  9709561  0      97.09561  0   5.386453280827483     33.33053093927236
   16  9773571  0      97.73571  0   5.198691798070529     33.33112668515857
   17  9822237  0      98.22237  0   5.029238495361485     33.32473827819585
   18  9860782  0      98.60782  0   4.877339590484214     33.33064056715019
   19  9890973  0      98.90973  0   4.733840193706934     33.284319496740544
   20  9914900  0      99.149  0   4.603513374854012     33.30573912180499
 ************************************************ 
