N	Aver1	Aver12	Aver3	Aver32						
1	0	0	0	0						
2	4.64585	9.2917	0	0						
3	13.0657	20.4515	0	0.4461						
4	22.17905	33.4999	0.0465	1.1922						
5	31.9757	47.0061	0.17465	2.3005						
6	41.8742	59.0213	0.38475	3.6285						
7	51.23445	69.0756	0.6813	5.1723						
8	59.94025	77.288	1.04575	6.867						
9	67.6935	83.6915	1.4811	8.6814						
10	74.49095	88.7	1.9577	10.5318						
11	80.11765	92.2589	2.50175	12.4824						
12	84.80575	94.8598	3.0873	14.4991						
13	88.55595	96.6538	3.73715	16.5806						
14	91.52925	97.9063	4.3974	18.6951						
15	93.84965	98.7073	5.0235	20.5927						
16	95.59405	99.2036	5.74105	22.6881						
17	96.8976	99.5395	6.404	24.6589						
18	97.83345	99.7281	7.1175	26.5766						
19	98.52405	99.8501	7.83535	28.5223						
20	99.006	99.9165	8.55145	30.4823						
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
		Figure 1A:  N vs Aver1								Figure 1B:  N vs Aver3
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
		Figure 2A:  N vs Aver12								Figure 2B:  N vs Aver32
