 ******************************************************* 
 ***  This study explores what happens if we apply a *** 
 ***  CDP matrix only once (1st iteration)           *** 
 ***  Number of Iterations = 10000000
 ******************************************************* 
  
  N      KCounter1   KCounter2      Ratio1    Ratio2      Aver Ratio1     Max Normal Diff    

   2  2812646  0      28.12646  0   15.067286636200162     33.33332247742498
   3  4611190  0      46.1119  0   13.795224941159939     33.33332183261421
   4  5715677  0      57.15677  0   12.252808389423912     33.33333134050461
   5  6617703  0      66.17703  0   10.706160126679075     33.333325036099446
   6  7342918  0      73.42918  0   9.481835600712495     33.33332608360555
   7  7920035  0      79.20035  0   8.54024969186054     33.33329549922238
   8  8374331  0      83.74331  0   7.813944230497617     33.33325078906871
   9  8730392  0      87.30392  0   7.247863483043333     33.33331881492014
   10  9007667  0      90.07667  0   6.788401733929432     33.33330025402725
   11  9223868  0      92.23868  0   6.41193199719236     33.3332319334805
   12  9392816  0      93.92816  0   6.099365912342693     33.33326307539795
   13  9526153  0      95.26153  0   5.830426846893954     33.33324574063136
   14  9629137  0      96.29137  0   5.595362714226023     33.3318861378105
   15  9710096  0      97.10096  0   5.384117372427593     33.33061830155589
   16  9772722  0      97.72722  0   5.199273933411506     33.331890400869206
   17  9822635  0      98.22635  0   5.028141309247219     33.33099374446386
   18  9861168  0      98.61168  0   4.877574258596745     33.33317340076834
   19  9891328  0      98.91328  0   4.735104014305674     33.328881192217686
   20  9915105  0      99.15105  0   4.604149587223435     33.331355164644414
 ************************************************ 
