 ******************************************************* 
 ***  This study explores what happens if we apply a *** 
 ***  CDP matrix only once (1st iteration)           *** 
 ***  Number of Iterations = 10000000
 ******************************************************* 
  
  N      KCounter1   KCounter2      Ratio1    Ratio2      Aver Ratio1     Max Normal Diff    

   2  2812740  0      28.1274  0   15.06221682051863     33.33333257286163
   3  4610946  0      46.10946  0   13.788829033319823     33.33329011878141
   4  5715190  0      57.1519  0   12.252626427181882     33.333319616948394
   5  6617855  0      66.17855  0   10.704625031871405     33.33332850290964
   6  7346054  0      73.46054  0   9.477732258958302     33.33330897285318
   7  7918480  0      79.1848  0   8.53800752691607     33.33333326000237
   8  8376215  0      83.76215  0   7.816776969779463     33.333320198765904
   9  8730090  0      87.3009  0   7.25091025128788     33.33329887800017
   10  9006751  0      90.06751  0   6.790154298558799     33.333274841686624
   11  9225454  0      92.25454  0   6.414399963485752     33.33328053195579
   12  9392922  0      93.92922  0   6.097388144935821     33.33327539727889
   13  9525920  0      95.2592  0   5.82864559996835     33.33321157025776
   14  9629519  0      96.29519  0   5.591621801844339     33.330596712401075
   15  9709661  0      97.09661  0   5.383657686493597     33.33315205257996
   16  9773241  0      97.73241  0   5.200604162915193     33.33261914901721
   17  9822695  0      98.22695  0   5.030450974109046     33.328906878720815
   18  9860588  0      98.60588  0   4.878296238830096     33.29488657509195
   19  9891153  0      98.91153  0   4.734498843179044     33.31607466624542
   20  9914980  0      99.1498  0   4.603813061603159     33.31638544987822
  
  
 ********* The END! *************************************** 
